Adriano|Adriano Leite Ribeiro|http://ego.globo.com/famosos/tudo-sobre/adriano.html|http://s2.glbimg.com/DJBDTqrBo2KbKKmOCIugBtAZFqg=/300x170/top/smart/s.glbimg.com/jo/eg/f/original/2011/10/27/adriano-felipe-assumpcao-agn.jpg|Aquário|17 de Fevereiro (33 anos)|NULL|Um dos maiores nomes do futebol brasileiro na última década, jogou em times como São Paulo, Flamengo, Inter de Milão, Roma e Corinthians. Já teve seu nome envolvido em várias polêmicas, como o abuso do álcool e o namoro com a modelo Joana Machado.
Adrilles Jorge|Adrilles Jorge|http://ego.globo.com/famosos/tudo-sobre/adrilles-jorge.html|http://s2.glbimg.com/sELHAi62oMdOzVzZEUcVxleWpXc=/300x170/top/smart/s.glbimg.com/jo/eg/f/original/2015/04/13/adrilles_paulo-belote_globo.jpg|Escorpião|16 de Novembro (40 anos)|NULL|NULL
Agatha Moreira|Agatha Moreira|http://ego.globo.com/famosos/tudo-sobre/agatha-moreira.html|http://s2.glbimg.com/-pY6G9n1g-jhpZfT7LTLqgfVn-g=/300x170/top/smart/s.glbimg.com/jo/eg/f/original/2014/05/08/005.jpg|Capricórnio|19 de Janeiro (23 anos)|NULL|NULL
Aguinaldo Silva|Aguinaldo Silva|http://ego.globo.com/famosos/tudo-sobre/aguinaldo-silva.html|http://s2.glbimg.com/J_YS0qHq4yqYhVgtFX2fsmCZdNk=/300x170/top/smart/s.glbimg.com/jo/eg/f/original/2011/08/18/aguinaldo-silva.jpg|Gêmeos|07 de Junho (70 anos)|NULL|Autor de novelas brasileiro conhecido como “Senhor das Oito”, pela quantidade de novelas que escreveu para este horário, considerado nobre. Começou sua carreira no jornalismo policial, é também autor romances e tem grande apreço por culinária.
Aílton Graça|Ailton Graça|http://ego.globo.com/famosos/tudo-sobre/ailton-graca.html|http://s2.glbimg.com/CXWyOfl_JuZNqR44YcLSPyob9lc=/300x170/top/smart/s.glbimg.com/jo/eg/f/original/2013/10/08/ailton_graca.jpg|Virgem|09 de Setembro (50 anos)|NULL|NULL
Alanis Morissette|Alanis Nadine Morissette|http://ego.globo.com/famosos/tudo-sobre/alanis-morissette.html|http://s2.glbimg.com/ZLZ_GY-4pFku_DVtggV9G-tpYco=/300x170/top/smart/s.glbimg.com/jo/eg/f/original/2011/11/20/2011-11-21t002339z_1471606436_gm1e7bl0nk201_rtrmadp_3_music-ama-awards.jpg|Gêmeos|01 de Junho (40 anos)|NULL|NULL
Alcione|Alcione Dias Nazareth|http://ego.globo.com/famosos/tudo-sobre/alcione.html|http://s2.glbimg.com/R9FI9yK-KIHoUis2Mc2mRhRCqfo=/300x170/top/smart/s.glbimg.com/jo/eg/f/original/2014/09/04/alcione-divulgacao-7.jpg|Escorpião|21 de Novembro (67 anos)|NULL|NULL
Alec Baldwin|Alexander Rae Baldwin III|http://ego.globo.com/famosos/tudo-sobre/alec-baldwin.html|http://s2.glbimg.com/b4jNCRJDLFNJVVz4qvUwCFMygzM=/300x170/top/smart/s.glbimg.com/jo/eg/f/original/2012/01/30/alec_baldwin.jpg|Áries|03 de Abril (57 anos)|NULL|NULL
Alejandro Claveaux|Alejandro Claveaux Marrinez|http://ego.globo.com/famosos/tudo-sobre/alejandro-claveaux.html|http://s2.glbimg.com/5Jn6LgfV0uMo_moJ2jF9LyJroa8=/300x170/top/smart/s.glbimg.com/jo/eg/f/original/2014/03/19/mg_3536.jpg|Peixes|01 de Março (32 anos)|NULL|NULL
Alessandra Ambrósio|Alessandra Ambrósio|http://ego.globo.com/famosos/tudo-sobre/alessandra-ambrosio.html|http://s2.glbimg.com/pVCUclaxeEotpNNlWv4Rbvw0NRw=/300x170/top/smart/s.glbimg.com/jo/eg/f/original/2011/09/06/alessandra-ambrosio-iwi_____.jpg|Áries|11 de Abril (34 anos)|NULL|Uma das mais requisitadas modelos brasileiras. Já foi eleita a mais sexy do mundo, em 2005, estrelou campanhas da badalada grife de lingerie Victoria’s Secret, e considerada uma das mais bem pagas. É mãe de Anja e Noah de seu relacionamento com o empresário Jamie Mazur.
